Name,Twitter,Notes
Gerry Adams,GerryAdamsSF,
Bobby Aylward,bobby_aylward,Elected through by election
James Bannon,JamesBannonTD,
Sean Barrett,SeanBarrettTD,Doesn't tweet as CC
Tom Barry,TomBarryTD,
Richard Boyd Barrett,RBoydBarrett,
Pat Breen,PatBreen1,
Tom Broughan,TommyBroughanTD,
John Browne,,No account
Richard Bruton,RichardbrutonTD,
Joan Burton,joanburton,
Ray Butler,RayButlerTD,
Jerry Buttimer,jerrybuttimer,
Catherine Bryne,,No account
Eric Byrne,EricByrneTD,
Dara Calleary,daracalleary,
Ciaran Cannon,ciarancannon,
Joe Carey,joecareytd,
Paudie Coffey,PaudieCoffey,
Niall Collins,NiallCollinsTD,
Joan Collins,JoanCollinsTD,
Aine Collins,,No Account
Michael Colreavy,MichaelColreavy,
Michael Conaghan,,No Account
Sean Conlan,SeanConlanTD,
Paul Connaughton,pconnaughton001,
Ciara Conway,ciaramconway,
Noel J Coonan,noel_coonan,
Ruth Coppinger,ruthcoppingertd,
Marcella Corcoran Kennedy,MarcellaCK,
Joe Costello,joecostellotd,
Simon Coveney,simoncoveney,
Barry Cowen,CowenBarry,
Michael Creed,creedcnw,Has never tweeted
Lucinda Creighton,LCreighton,
Sean Crowe,SeanCroweTD,
Clare Daly,ClareDalyTD,
Jim Daly,jimdalytd,
John Deasy,4_JohnDeasyTD,
Jimmy Deenihan,JimmyDeenihanTD,
Patrick Deering,PatDeeringFG,Has never tweeted
Regina Doherty,ReginaDo,
Pearse Doherty,PearseDoherty,
Stephen Donnelly,DonnellyStephen,
Paschal Donohoe,Paschald,
Timmy Dooley,timmydooley,
Robert Dowds,robert_dowdsTD,
Andrew Doyle,ADoyleTD,
Bernard Durkan,BernardDurkanTD,
Dessie Ellis,DessieEllisTD,
Damien English,Damien_English,
Alan Farrell,AlanFarrell,
Frank Feighan,FrankFeighan,
Anne Ferris,AnneFerrisTD,Has never tweeted
Frances Fitzgerald,FitzgeraldFrncs,
Michael Fitzmaurice,michaelfitzmau1,Joined in late 2014
Peter Fitzpatrick,PFitzpatrickTD,
Luke 'Ming' Flanagan,lukeming,
Charles Flanagan,CharlieFlanagan,
Terence Flanagan,,No Account
Sean Fleming,,No Account
Tom Fleming,TomFlemingTD,
Eamon Gilmore,EamonGilmore,
Noel Grealish,,No Account
Brendan Griffin,BGriffinTD,
John Halligan,JohnHalligan,
Dominic Hannigan,Domhannigan,
Noel Harrington,nharrington2,
Simon Harris,SimonHarrisTD,
Tom Hayes,Tomhayestd,
Brian Hayes,brianhayesMEP,Elected as MEP in 2014
Seamus Healy,SeamusHealyTD,
Michael Healy-Rae,MHealyRae,
Martin Heydon,martinheydonfg,
Joe Higgins,JoeHigginsSP,Elected as MEP in 2014
Phil Hogan,PhilHoganEU,
Brendan Howlin,brendanhowlin,Joined in late 2015
Kevin Humphreys,KHumphreysDBS,
Heather Humphreys,HHumphreysFG,Joined in late 2014
Derek Keating,,Account no longer appears to exist
Colm Keaveney,Colm_Keaveney,
Paul Kehoe,campaign4kehoe,
Billy Kelleher,BillyKelleherTD,
Alan Kelly,alankellylabour,
Enda Kenny,endakennytd,
Sean Kenny,SeanKennyLabour,
Seamus Kirk,SeamusKirk1,
Michael P Kitt,,No Account
Sean Kyne,SeanKyneTD,
Anthony Lawlor,AnthonyLawlorFG,
Brian Lenihan,,Died in June 2011
Michael Lowry,michael_lowry,
Kathleen Lynch,KathleenLynch05,
Ciaran Lynch,ciaranalynch,
John Lyons,johnlyons77,
Padraig Mac Lochlainn,PadraigMacL,
Eamonn Maloney,,
Micheal Martin,MichealMartinTD,
Pete Mathews,,Account no longer appears to exist
Michael McCarthy,mmccarthy_mc,
Charlies McConalouge,McConalogue,
Mary Lou McDonald,MaryLouMcDonald,
Helen McEntee,HMcEntee,Elected through by election
Shane McEntee,shanemcenteetd,Died in December 2012. Never tweeted.
Gabrielle McFadden,gabmcfadden,
Nicky McFadden,,
Dinny McGinley,DinnyMcG,
Michael McGrath,mmcgrathtd,
Finian McGrath,Finianmcgrathtd,
Mattie McGrath,mattiemcgrathtd,
John McGuinness,JMcGuinnessTD,
Joe McHugh,Joe_McHugh_TD,
Sandra McLellan,,Account no longer appears to exist
Tony McLoughlin,TonyMcLTD,
Michael McNamara,MmcNamara_Clare,
Olivia Mitchell,oliviamitchelo,
Mary Mitcheel O'Connor,mitchelloconnor,
Michael Moynihan,mmoynihantd,
Michelle Mulherin,MulherinFG,
Dara Murphy,DaraMurphyFG,
Eoghan Murphy,MurphyEoghan,
Catherine Murphy,CathMurphyTD,
Paul Murphy,paulmurphyAAA,
Gerald Nash,geraldnash,
Denis Naughten,DenisNaughten,
Dan Neville,DanNevilleTD,
Derek Nolan,derekmnolan,
Michael Noonan,,No Account
Patrick Nulty,,No Account/ Resigned 2014
Caoimhgin O Caolain,,No Account
Eamon O Cuiv,eamonocuiv,
Sean O Fearghail,SOFearghail_TD,
Aodhan O Riordain,AodhanORiordain,
Aengus O Snodaigh,aosnodaigh,
Johnathan O'Brien,JOBrien_SF,
Willie O'Dea,willieodeaLIVE,
Kieran O'Donnell,kodonnelllk,
Patrick O'Donovan,podonovan,
Fergus O'Dowd,Fergusodowd,
John O'Mahony,omahonyjohnno,
Joe O'Reilly,joeoreillytd,
Jan O'Sullivan,JanOSullivanTD,
Maurenn O'Sullivan,MOSullivanTD,
Willie Penrose,WilliePenroseTD,No tweets
John Perry,campaign4perry,
John Paul Phelan,JPPhelan,
Ann Phelan,annphelan1,
Thomas Pringle,ThomasPringleTD,
Ruairi Quinn,RuairiQuinnTD,No tweets
Pat Rabbitte,,Account no longer appears to exist
James Reilly,DrJamesReilly,
Michael Ring,,No Account
Shane Ross,Shane_RossTD,
Brendan Ryan,BrendanRyanTD,
Alan Shatter,alan__shatter,
Sean Sherlock,seansherlocktd,
Roisin Shortall,RoisinShortall,
Brendan Smith,BrendanSmithTD,
Arthur Spring,SpringAJ,
Emmet Stagg,,No Account
Brian Stanley,BrianStanleyTD,
David Stanton,davidstantontd,
Billy Timmins,Billy_Timmins,
Peadar Toibin,Toibin1,
Robert Troy,RobertTroyTD,
Joanna Tuffy,joannatuffy,
Liam Twomey,LiamTwomey,
Leo Varadkar,campaignforleo,
Jack Wall,kildarelabour,
Mick Wallace,wallacemick,
Brian Walsh,brianwalshtd,
Alex White,alexwhitesc,
Martin Ferris,ferrismartin,No Account
